id,nom,insee,geopoint,adresse,emplacements,no_appel,info,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner
56121-T-015,Rue du Couëdic de Kergoualer,56121,"-3.36424277499998, 47.748806653",4 Rue du Couëdic de Kergoualer,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-014,Rue du Couëdic de Kergoualer,56121,"-3.36426803099999, 47.748772008",4 Rue du Couëdic de Kergoualer,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-013,Rue du Couëdic de Kergoualer,56121,"-3.36432455900001, 47.748694466",2 Rue du Couëdic de Kergoualer,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-011,Rue Gilles Gahinet,56121,"-3.35280205599997, 47.741916529",,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54578-T-001,VILLERS (angle Bd Maréchal Lyautey),54578,"6.15644658174365, 48.6769396682827",Boulevard Docteur Cattenoz,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-010,Rue Honoré d'Estienne d'Orves,56121,"-3.37403942700001, 47.731612684",,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-009,Rue du Couëdic de Kergoualer,56121,"-3.36407268599999, 47.74903057",5 Rue du Couëdic de Kergoualer,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-008,Rue de Belgique,56121,"-3.38182672900001, 47.759883022",99 Rue de Belgique,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-007,Place Alsace-Lorraine,56121,"-3.36168879000002, 47.749224264",9 Place Alsace-Lorraine,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-006,Place Alsace-Lorraine,56121,"-3.36163590799998, 47.749207799",9 Place Alsace-Lorraine,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-005,Rue Gilles Gahinet,56121,"-3.35270837100001, 47.7419957",,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-004,Rue Gilles Gahinet,56121,"-3.35275445500002, 47.741956755",,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-003,Rue du Couëdic de Kergoualer,56121,"-3.36404025399997, 47.749073684",5 Rue du Couëdic de Kergoualer,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-002,Rue du Couëdic de Kergoualer,56121,"-3.36413351499999, 47.748949707",5 Rue du Couëdic de Kergoualer,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-001,Rue du Couëdic de Kergoualer,56121,"-3.36429518400001, 47.74873476",2 Rue du Couëdic de Kergoualer,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
39039-T-001,Joliot-Curie,38039,"5.870029, 45.273657",Avenue Joliot Curie,,,OSM – non trouvé,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
38436-T-001,Vercors,38436,"5.643157, 45.071641",Route du Vercors,,,OSM – non trouvé,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
31490-T-026,SEGUSINO (AV SEGUSINO),31490,"1.37561986508, 43.7458941326",AV SEGUSINO SAINT-JORY,1,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
38421-T-001,Ambroise Croizat,38421,"5.7529, 45.1842",Avenue Ambroise Croizat,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
31555-T-027,OZENNE (RUE THEODORE OZENNE),31555,"1.44593914014, 43.5975530612",5 RUE THEODORE OZENNE TOULOUSE,2,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
31555-T-025,VIDAL (RUE PAUL VIDAL),31555,"1.4481965693, 43.6031740552",16 RUE PAUL VIDAL TOULOUSE,2,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
31555-T-024,EMBOUCHURE (BD DE L EMBOUCHURE),31555,"1.43367040232, 43.6152660757",23 BD DE L EMBOUCHURE TOULOUSE,1,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
31555-T-020,VALLEREY (ESP GEORGES VALLEREY),31555,"1.43570677993, 43.5875376424",PARC DES EXPOSITIONS TOULOUSE,6,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
