dataset_id,dataset_slug,dataset_page,resource_id,resource_title,resource_last_modified,error_type,organization_or_owner,resource_found_by,is_valid_v_0.1.0,is_valid_v_0.2.0,is_valid_v_0.2.1,is_valid_v_1.0.0,is_valid_one_version,initial_schema_version,most_recent_valid_version,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop
5a09a19d88ee3828e67aaf8e,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon,https://www.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon/,f2aea728-f8a2-4050-a0be-ee1a5735ddf0,n_enjeu_pprn_19980002_s_069.tab (export GeoJSON),2020-01-24T12:53:06.174000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a19d88ee3828e67aaf8e,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon,https://www.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon/,ebae4f2b-d2c4-411b-9a44-39eda5f03a9e,n_enjeu_pprn_19980002_s_069.tab (export SHP/WGS-84),2020-01-24T12:53:06.175000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a19d88ee3828e67aaf8e,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon,https://www.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon/,640a4540-ffcf-4d4a-83f4-78f51f4fe7ba,n_enjeu_pprn_19980002_s_069.shp (archive),2020-01-24T12:53:06.176000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a19188ee3828e67aaf8d,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-saone-amont,https://www.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-saone-amont/,9fb6fc72-df7c-4ce6-a1fb-b4ccaf89771c,n_enjeu_pprn_20120002_s_069.shp (export SHP/WGS-84),2020-01-24T12:53:07.443000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a19d88ee3828e67aaf8e,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon,https://www.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon/,aa547480-2129-4ec7-9003-8e254dc8bbef,n_enjeu_pprn_19980002_s_069.shp (export GeoJSON),2020-01-24T12:53:06.178000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a19188ee3828e67aaf8d,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-saone-amont,https://www.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-saone-amont/,ba606e5c-654b-4438-abff-b24bdfe91a2c,n_enjeu_pprn_20120002_s_069.shp (export GeoJSON),2020-01-24T12:53:07.442000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a19188ee3828e67aaf8d,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-saone-amont,https://www.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-saone-amont/,fc3f086c-25a9-4aea-9e4f-cb2336dd4033,n_enjeu_pprn_20120002_s_069.tab (export SHP/WGS-84),2020-01-24T12:53:07.441000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f6c751df22202b270e,enjeux-lineaires-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron,https://www.data.gouv.fr/fr/datasets/enjeux-lineaires-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron/,9a9a0a6f-ab4b-416b-adbd-bd2b7127475e,Service_WMS_de_DtARA.pdf,2020-01-24T12:52:58.556000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f6c751df22202b270e,enjeux-lineaires-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron,https://www.data.gouv.fr/fr/datasets/enjeux-lineaires-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron/,b7e66a6d-5324-4fb6-a3e7-6f5402687494,catalogue_dattributs.pdf,2020-01-24T12:52:58.557000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f6c751df22202b270e,enjeux-lineaires-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron,https://www.data.gouv.fr/fr/datasets/enjeux-lineaires-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron/,340831bd-4e72-4de0-9a96-4b591337c45b,Service_de_telechargement_simple_de_DtARA__flux_ATOM.pdf,2020-01-24T12:52:58.557000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f6c751df22202b270e,enjeux-lineaires-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron,https://www.data.gouv.fr/fr/datasets/enjeux-lineaires-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron/,486ff08d-60d0-401a-ab22-5a4e283d1dd9,Enjeux_lineaires_pris_en_compte_dans_un_plan_de_prevention_des_risques___YZERON.pdf,2020-01-24T12:52:58.558000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f6c751df22202b270e,enjeux-lineaires-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron,https://www.data.gouv.fr/fr/datasets/enjeux-lineaires-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron/,da9509f1-82a3-4d26-b608-0f5b65f8c79c,2015_01_22_CONDITIONS_MAD_UTI_DONNEES.pdf,2020-01-24T12:52:58.558000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f6c751df22202b270e,enjeux-lineaires-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron,https://www.data.gouv.fr/fr/datasets/enjeux-lineaires-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron/,16ec98b5-b56c-4b49-b069-445107524b46,n_enjeu_pprn_20070002_l_069 (export GeoJSON),2020-01-24T12:52:58.559000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f6c751df22202b270e,enjeux-lineaires-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron,https://www.data.gouv.fr/fr/datasets/enjeux-lineaires-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron/,bbed8aa3-cf16-4e56-adad-14e166e239b1,n_enjeu_pprn_20070002_l_069 (export SHP/WGS-84),2020-01-24T12:52:58.560000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f488ee3832007f45e0,enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon/,f9a10925-c39d-45fa-95f9-9cd8fad297ab,n_enjeu_pprn_19980002_p_069 (export GeoJSON),2020-01-24T12:52:58.527000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f488ee3832007f45e0,enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon/,7ddd576b-cbda-4651-813c-24374725d1f9,n_enjeu_pprn_19980002_p_069 (export SHP/WGS-84),2020-01-24T12:52:58.528000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f188ee3832007f45df,enjeux-ponctuels-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-ppr-garon-global-rhone/,5a87bcb4-ff9b-4501-96bb-7805d825e913,n_enjeu_pprn_20130001_p_069.tab (archive),2020-01-24T12:52:59.093000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f188ee3832007f45df,enjeux-ponctuels-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-ppr-garon-global-rhone/,e6417338-16e2-4c89-b50d-7a7b56e02773,n_enjeu_pprn_20130001_p_069.tab (export GeoJSON),2020-01-24T12:52:59.094000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f188ee3832007f45df,enjeux-ponctuels-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-ppr-garon-global-rhone/,26a8d7da-2b56-4e99-971b-f1b4784ea78a,n_enjeu_pprn_20130001_p_069.tab (export SHP/WGS-84),2020-01-24T12:52:59.095000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
