dataset_id,dataset_slug,dataset_page,resource_id,resource_title,resource_last_modified,error_type,organization_or_owner,resource_found_by,is_valid_v_1.1.0,is_valid_v_2.0.0,is_valid_v_2.0.1,is_valid_one_version,initial_schema_version,most_recent_valid_version,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop
56eedf0088ee380d17908575,foyers-dattaques-de-scolytes-en-haute-savoie,https://www.data.gouv.fr/fr/datasets/foyers-dattaques-de-scolytes-en-haute-savoie/,99295954-d060-4d70-a29a-8903dce546e7,Télécharger le package complet source (données + documents),2016-03-20T18:33:55.585000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
56eedf0088ee380d17908575,foyers-dattaques-de-scolytes-en-haute-savoie,https://www.data.gouv.fr/fr/datasets/foyers-dattaques-de-scolytes-en-haute-savoie/,715c54f7-7902-4925-9949-59d4a1789686,Conversion à la volée (GeoJSON / WGS-84),2016-03-20T18:33:56.777000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
56eedf0088ee380d17908575,foyers-dattaques-de-scolytes-en-haute-savoie,https://www.data.gouv.fr/fr/datasets/foyers-dattaques-de-scolytes-en-haute-savoie/,0c494594-d5d1-42eb-9de1-7b37a3bfb970,Conversion à la volée (Shapefile / Lambert-93),2016-03-20T18:33:59.145000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
56eedf0088ee380d17908575,foyers-dattaques-de-scolytes-en-haute-savoie,https://www.data.gouv.fr/fr/datasets/foyers-dattaques-de-scolytes-en-haute-savoie/,0a157851-f92b-422b-a0fc-5727d8610f9e,Conversion à la volée (CSV / pas de géométries),2016-03-20T18:34:00.467000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
53699a1ea3a729239d2053ee,morpho-sedimentologie-et-courants-de-maree-3d-du-passage-du-fromveur,https://www.data.gouv.fr/fr/datasets/morpho-sedimentologie-et-courants-de-maree-3d-du-passage-du-fromveur/,6a914fed-1c65-485b-b39d-cc7baec48614,Baie du Stiff,2015-01-19T16:42:23.344000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
53699a1ea3a729239d2053ee,morpho-sedimentologie-et-courants-de-maree-3d-du-passage-du-fromveur,https://www.data.gouv.fr/fr/datasets/morpho-sedimentologie-et-courants-de-maree-3d-du-passage-du-fromveur/,5508b984-3e98-4305-8083-9dd075c1af48,Courants de marée 3D - Fromveur,2014-03-05T11:03:43.330000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
53699a1ea3a729239d2053ee,morpho-sedimentologie-et-courants-de-maree-3d-du-passage-du-fromveur,https://www.data.gouv.fr/fr/datasets/morpho-sedimentologie-et-courants-de-maree-3d-du-passage-du-fromveur/,4712c511-d846-4d98-8d21-6c8b1e9d3d36,Nature des sédiments de surface - Fromveur,2014-03-05T10:53:32.126000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
53699a1ea3a729239d2053ee,morpho-sedimentologie-et-courants-de-maree-3d-du-passage-du-fromveur,https://www.data.gouv.fr/fr/datasets/morpho-sedimentologie-et-courants-de-maree-3d-du-passage-du-fromveur/,cfe9bbe3-563c-4f43-9d4c-ccc3935727ee,Bathymétrie haute résolution - Fromveur,2014-03-05T10:52:59.186000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
565f75a988ee380593e72048,communes-integrees-dans-une-charte-locale-du-paysage-dans-le-departement-de-lallier,https://www.data.gouv.fr/fr/datasets/communes-integrees-dans-une-charte-locale-du-paysage-dans-le-departement-de-lallier/,d5c3662c-8ac9-427f-9c4f-89550aa654e8,ChartesLocalesPaysageDpt003 (export SHP/WGS-84),2020-01-24T13:25:34.649000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
565f75a988ee380593e72048,communes-integrees-dans-une-charte-locale-du-paysage-dans-le-departement-de-lallier,https://www.data.gouv.fr/fr/datasets/communes-integrees-dans-une-charte-locale-du-paysage-dans-le-departement-de-lallier/,f6b3efab-d87c-4509-92a9-6bfc02acf9b0,ChartesLocalesPaysageDpt003 (export GeoJSON),2020-01-24T13:25:34.648000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
57868eb3a3a7295d371add07,logements-sociaux-finances-dans-les-communes-ayant-moins-de-20-de-logements-sociaux,https://www.data.gouv.fr/fr/datasets/logements-sociaux-finances-dans-les-communes-ayant-moins-de-20-de-logements-sociaux/,e1964faf-f94c-4042-aeee-444065cde8a7,Export au format JSON,2013-03-10T23:00:00,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
57868eb3a3a7295d371add07,logements-sociaux-finances-dans-les-communes-ayant-moins-de-20-de-logements-sociaux,https://www.data.gouv.fr/fr/datasets/logements-sociaux-finances-dans-les-communes-ayant-moins-de-20-de-logements-sociaux/,7ae69aba-b421-469b-a855-2f4f7be941e2,Export au format CSV,2013-03-10T23:00:00,,hauts-de-seine-le-departement,3 - search request,False,False,False,False,,,False,False,False
57868eb3a3a7295d371add07,logements-sociaux-finances-dans-les-communes-ayant-moins-de-20-de-logements-sociaux,https://www.data.gouv.fr/fr/datasets/logements-sociaux-finances-dans-les-communes-ayant-moins-de-20-de-logements-sociaux/,277edd5c-36a8-4360-afb1-03a25c81c6cf,Export au format JSON,2013-03-10T23:00:00,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
57868eb3a3a7295d371add07,logements-sociaux-finances-dans-les-communes-ayant-moins-de-20-de-logements-sociaux,https://www.data.gouv.fr/fr/datasets/logements-sociaux-finances-dans-les-communes-ayant-moins-de-20-de-logements-sociaux/,dd5112ba-ab89-4598-ba52-778b1256fa02,Export au format CSV,2013-03-10T23:00:00,,hauts-de-seine-le-departement,3 - search request,False,False,False,False,,,False,False,False
59591532a3a7291dd09c803e,interventions-regionales-en-faveur-du-logement-locatif-social-offre-nouvelle-aide-a-loperation-2010-a-2014,https://www.data.gouv.fr/fr/datasets/interventions-regionales-en-faveur-du-logement-locatif-social-offre-nouvelle-aide-a-loperation-2010-a-2014/,ca8f1063-1121-4749-8120-0a69fe4c6bfb,Export au format Shapefile,2014-08-20T09:28:46,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
59591532a3a7291dd09c803e,interventions-regionales-en-faveur-du-logement-locatif-social-offre-nouvelle-aide-a-loperation-2010-a-2014,https://www.data.gouv.fr/fr/datasets/interventions-regionales-en-faveur-du-logement-locatif-social-offre-nouvelle-aide-a-loperation-2010-a-2014/,73b40e7b-13b0-4a63-881d-b11a022af82e,Export au format GeoJSON,2014-08-20T09:28:46,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
59591532a3a7291dd09c803e,interventions-regionales-en-faveur-du-logement-locatif-social-offre-nouvelle-aide-a-loperation-2010-a-2014,https://www.data.gouv.fr/fr/datasets/interventions-regionales-en-faveur-du-logement-locatif-social-offre-nouvelle-aide-a-loperation-2010-a-2014/,f3d0829f-1e8e-4994-b367-a12784640835,Export au format JSON,2014-08-20T09:28:46,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
59591532a3a7291dd09c803e,interventions-regionales-en-faveur-du-logement-locatif-social-offre-nouvelle-aide-a-loperation-2010-a-2014,https://www.data.gouv.fr/fr/datasets/interventions-regionales-en-faveur-du-logement-locatif-social-offre-nouvelle-aide-a-loperation-2010-a-2014/,43857de8-c52f-4fe2-bdf8-233d43d85758,Export au format CSV,2014-08-20T09:28:46,,region-ile-de-france,3 - search request,False,False,False,False,,,False,False,False
59591532a3a7291dd09c803e,interventions-regionales-en-faveur-du-logement-locatif-social-offre-nouvelle-aide-a-loperation-2010-a-2014,https://www.data.gouv.fr/fr/datasets/interventions-regionales-en-faveur-du-logement-locatif-social-offre-nouvelle-aide-a-loperation-2010-a-2014/,2b2f5db8-983c-42fc-990d-618de13ba7e2,Export au format Shapefile,2014-08-20T09:28:46,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
