coll_nom,coll_siret,nature de la plage,plage en régie,COLL_NOM,COLL_SIRET,NOM,STATUT,REGIE,NUMERO_VOIE,NOM_VOIE,CODE_POSTAL,LIEU,ACCES_HANDICAP,LABEL_ HANDIPLAGE,EQUIPEMENTS,KIOSQUE VENTE A EMPORTER,INTERNET,DAT_DER_MAJ,last_modified,datagouv_resource_id,Geo Point,Geo Shape,Code Officiel Région,Code Officiel Département,Code Officiel Commune / Arrondissement Municipal,Code Officiel IRIS,Année,Type,Qualité du géocodage,Description,Catégorie,Nom Officiel Région,Nom Officiel Département,Nom Officiel EPCI,Nom Officiel Commune / Arrondissement Municipal,Code Iso 3166-3 Zone,Code Officiel EPCI
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0473351119,1.41863867694","{""type"": ""MultiPoint"", ""coordinates"": [[1.418638676943876, 50.04733511186388]]}",28,76,76255,762550101,2019,A504,Bonne,Restaurant-Restauration rapide,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0424821897,1.42095788235","{""type"": ""MultiPoint"", ""coordinates"": [[1.42095788234596, 50.0424821897165]]}",28,76,76255,762550102,2019,D233,Bonne,Masseur-kinésithérapeute,Santé,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0489099891,1.42338999697","{""type"": ""MultiPoint"", ""coordinates"": [[1.423389996969645, 50.04890998906603]]}",28,76,76255,762550101,2019,F111,Bonne,Plateaux et terrains de jeux extérieurs,"Sports, loisirs et culture",Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0527338644,1.42129239932","{""type"": ""MultiPoint"", ""coordinates"": [[1.421292399324193, 50.05273386435627]]}",28,76,76255,762550103,2019,A501,Bonne,Coiffure,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0526774307,1.4212769909","{""type"": ""MultiPoint"", ""coordinates"": [[1.421276990895126, 50.05267743074282]]}",28,76,76255,762550103,2019,B305,Bonne,Magasin d'électroménager et de matériel audio-vidéo,Commerces,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.042885648,1.4208544027","{""type"": ""MultiPoint"", ""coordinates"": [[1.420854402697219, 50.042885647984946]]}",28,76,76255,762550102,2019,A505,Bonne,Agence immobilière,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0542586702,1.42235942838","{""type"": ""MultiPoint"", ""coordinates"": [[1.422359428382291, 50.05425867023941]]}",28,76,76255,762550103,2019,A501,Bonne,Coiffure,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0494799923,1.42031999926","{""type"": ""MultiPoint"", ""coordinates"": [[1.42031999925983, 50.04947999230404]]}",28,76,76255,762550101,2019,F114,Bonne,Salles de combat,"Sports, loisirs et culture",Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0517998094,1.42082695453","{""type"": ""MultiPoint"", ""coordinates"": [[1.420826954532174, 50.051799809374174]]}",28,76,76255,762550101,2019,B203,Bonne,Boulangerie,Commerces,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0484579864,1.41503162001","{""type"": ""MultiPoint"", ""coordinates"": [[1.415031620014474, 50.04845798638433]]}",28,76,76255,762550101,2019,D233,Bonne,Masseur-kinésithérapeute,Santé,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
