COLL_NOM,COLL_SIRET,DELIB_ID,DELIB_DATE,DELIB_MATIERE_CODE,DELIB_MATIERE_NOM,DELIB_OBJET,BUDGET_ANNEE,BUDGET_NOM,PREF_ID,PREF_DATE,VOTE_EFFECTIF,VOTE_REEL,VOTE_POUR,VOTE_CONTRE,VOTE_ABSTENTION,DELIB_URL,last_modified,datagouv_resource_id,VOTE_ABSTENTION 
SIEEEN,25580118500018,109.CS.2019,2019-12-14,1.1,commande publique/Marchés publics,Contrat de reprise Papier/carton,2020,BDM - BUDGET DECHETS MENAGERS,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,108.CS.2019,2019-12-14,4.1,fonction publique/Personnels titulaires et stagiaires de la F.P.T,Allocation du ticket mobilité - Région Bourgogne Franche Comté,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,107.CS.2019,2019-12-14,4.1,fonction publique/Personnels titulaires et stagiaires de la F.P.T,Transformation d'un emploi au sein du SG,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,106.CS.2019,2019-12-14,4.1,fonction publique/Personnels titulaires et stagiaires de la F.P.T,Création d'un poste technicien  fourniture énergie/éclairage public ,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,105.CS.2019,2019-12-14,4.1,fonction publique/Personnels titulaires et stagiaires de la F.P.T,Création d'un poste chef de projets PCRS SIG,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,104.CS.2019,2019-12-14,4.1,fonction publique/Personnels titulaires et stagiaires de la F.P.T,Création d'un poste de technicien cartographie - SITEC,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,103.CS.2019,2019-12-14,4.1,fonction publique/Personnels titulaires et stagiaires de la F.P.T,Création d'un poste de technicien - cadre des agents territoriaux - SITEC,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,102.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Avenant à la convention de compte courant du SIEEEEN au bénéfice de nièvre Energies,2019/2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,101.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Indemnités du comptable du trèsor,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,100.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Restes à recouvrer - Admission en non valeur,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,099.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",NE Traité apport en nature,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2020-01-08,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,098.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Barèmes SITEC,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,097.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Barèmes déchets ménagers - compost,2020,BDM - BUDGET DECHETS MENAGERS,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,096.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Barèmes déchets ménagers,2020,BDM - BUDGET DECHETS MENAGERS,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,078.BS.2019,2019-11-29,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Présentation et adoption du traité d'apport en nature NIEVRE ENERGIE,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-11,21,13,13,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,077.BS.2019,2019-11-29,7.4,finances locales/Interventions économiques en faveur des entreprises,Contrat de transition ecologique nievre legérienne (CTE) phase de conventionnement ,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-11,21,13,13,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,076.BS.2019,2019-11-29,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Mise à disposition des biens d'une collectivité en faveur du SIEEEN dans le cadre d'un transfert de compétence informatique,2019,BPS - BUDGET PRESTATIONS,PREF058,2019-12-11,21,13,13,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,060.CS.2019,2019-10-19,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Décisions modificatives,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-10-24,87,47,47,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,058.CS.2019,2019-10-19,7.10,finances locales/Divers,Mise à disposition de biens ECLAIRAGE PUBLIC,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-10-24,87,47,47,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,057.CS.2019,2019-10-19,1.1,commande publique/Marchés publics,CP - Avenant n°2 Marché 2017-13,2019,BDM - BUDGET DECHETS MENAGERS,PREF058,2019-10-24,87,47,47,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,056.CS.2019,2019-10-19,1.1,commande publique/Marchés publics,CP - Marché prestations de broyage et criblage DM,2019,BDM - BUDGET DECHETS MENAGERS,PREF058,2019-10-25,87,47,47,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,055.CS.2019,2019-10-19,1.1,commande publique/Marchés publics,CP - Marché transport DM,2019,BDM - BUDGET DECHETS MENAGERS,PREF058,2019-10-25,87,47,47,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,053.CS.2019,2019-10-19,5.2,institutions et vie politique/Fonctionnement des assemblées,Adoption du PV 22/06/19,null,null,PREF058,2019-10-25,87,47,47,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,054.CS.2019,2019-10-19,5.7,institutions et vie politique/Intercommunalité,Adhésion des collectivités,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-10-25,87,47,47,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,070.BS.2019,2019-10-10,8.4,domaines de compétences par thèmes/Aménagement du territoire,Contrat développement énergies renouvelables,2019,BPS - BUDGET PRESTATIONS,PREF058,2019-10-23,21,12,12,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,069.BS.2019,2019-10-10,7.4,finances locales/Interventions économiques en faveur des entreprises,Vente de certificats d'économies d'énergie,2019,BPS - BUDGET PRESTATIONS,PREF058,2019-10-23,21,12,12,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,068.BS.2019,2019-10-10,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Mise à disposition des biens INFORMATIQUE,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-10-23,21,12,12,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,067.BS.2019,2019-10-10,8.4,domaines de compétences par thèmes/Aménagement du territoire,AP usages TIC,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-10-23,21,12,12,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,066.BS.2019,2019-10-10,1.7,commande publique/Actes spéciaux et divers,Convention dématérialisation Actes contrôle légalité,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-10-23,21,12,12,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,065.BS.2019,2019-10-10,1.7,commande publique/Actes spéciaux et divers,Convention conduite et surveillance chaufferie bois,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-10-23,21,12,12,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,064.BS.2019,2019-10-10,7.8,finances locales/Fonds de concours,Fonds de concours EP LA FERME BLANCHE CLAMECY,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-10-23,21,12,12,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
