dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,error_type,resource_found_by,initial_version_name,organization_or_owner,is_valid_v_0.1.0,is_valid_v_0.2.0,is_valid_v_0.2.1,is_valid_v_0.2.2,is_valid_v_0.2.3,is_valid_v_0.3.0,is_valid_v_0.3.1,is_valid_one_version,most_recent_valid_version
5dfc47919ce2e75741f3a0cf,Comptage vélo - Données compteurs,comptage-velo-donnees-compteurs,https://www.data.gouv.fr/fr/datasets/comptage-velo-donnees-compteurs/,031c3928-3cff-42dd-9d7e-f415771be5f3,Export au format JSON,https://opendata.paris.fr/explore/dataset/comptage-velo-donnees-compteurs/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2021-10-03T06:26:30,,3 - search request,,mairie-de-paris,False,False,False,False,False,False,False,False,
5dfc47919ce2e75741f3a0cf,Comptage vélo - Données compteurs,comptage-velo-donnees-compteurs,https://www.data.gouv.fr/fr/datasets/comptage-velo-donnees-compteurs/,237382af-0e7a-4ef8-9508-b3e9e78adcfd,Export au format CSV,https://opendata.paris.fr/explore/dataset/comptage-velo-donnees-compteurs/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2021-10-03T06:26:30,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
58aef65dc751df62466f39da,Véloroutes et Voies Vertes dans le département des Vosges,veloroutes-et-voies-vertes-dans-le-departement-des-vosges,https://www.data.gouv.fr/fr/datasets/veloroutes-et-voies-vertes-dans-le-departement-des-vosges/,685a4560-eb3b-456b-97bb-92ea6aec73a4,N_3V_REPERE_P_088.TAB (export SHP/WGS-84),https://transcode.geo.data.gouv.fr/links/5e2a20e4fa4268bc256e94ee/downloads/5e55c3b45b29cbd2597b35fd?format=SHP&projection=WGS84,2020-02-28T06:42:15.393000,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
5c9488218b4c416eb0c51ae6,ROUTES : Itinéraires cyclables - 01/01/2019 - département du Bas-Rhin (67),routes-itineraires-cyclables-01-01-2019-departement-du-bas-rhin-67,https://www.data.gouv.fr/fr/datasets/routes-itineraires-cyclables-01-01-2019-departement-du-bas-rhin-67/,3a3be81d-ea06-4b0d-8c4e-db4e03e58d8e,CD67_ROUTE_ITINERAIRE_CYCLABLE_CC48_2019 (export SHP/WGS-84),https://transcode.geo.data.gouv.fr/services/5e2a2220fa4268bc257bf7d3/feature-types/cd67:CD67_ROUTE_ITINERAIRE_CYCLABLE_CC48_2019?format=SHP&projection=WGS84,2020-01-24T12:47:35.747000,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
5c9488218b4c416eb0c51ae6,ROUTES : Itinéraires cyclables - 01/01/2019 - département du Bas-Rhin (67),routes-itineraires-cyclables-01-01-2019-departement-du-bas-rhin-67,https://www.data.gouv.fr/fr/datasets/routes-itineraires-cyclables-01-01-2019-departement-du-bas-rhin-67/,6cd45ecc-0585-49c3-88e2-611901fbcaf2,IC_AMENAGEMENT.TAB (archive),https://files.geo.data.gouv.fr/link-proxy/sigeo.bas-rhin.fr/2020-01-24/5e2ab7091a9842144a41699b/itineraires%20cyclables.zip/ic-amenagement.zip,2020-01-24T12:47:35.741000,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
5c9488218b4c416eb0c51ae6,ROUTES : Itinéraires cyclables - 01/01/2019 - département du Bas-Rhin (67),routes-itineraires-cyclables-01-01-2019-departement-du-bas-rhin-67,https://www.data.gouv.fr/fr/datasets/routes-itineraires-cyclables-01-01-2019-departement-du-bas-rhin-67/,c394a67c-98b0-4168-b54a-739b6382b9bd,CD67_ROUTE_IC_AMENAGEMENT_CC48_2019 (export SHP/WGS-84),https://transcode.geo.data.gouv.fr/services/5e2a2220fa4268bc257bf7d3/feature-types/cd67:CD67_ROUTE_IC_AMENAGEMENT_CC48_2019?format=SHP&projection=WGS84,2020-01-24T12:47:35.745000,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
5ebf65a39780808d9d233919,Déconfinement - Pistes cyclables temporaires,deconfinement-pistes-cyclables-temporaires,https://www.data.gouv.fr/fr/datasets/deconfinement-pistes-cyclables-temporaires/,8d8ddf64-3835-4832-83ba-cd92fa00afed,Export au format JSON,https://opendata.paris.fr/explore/dataset/deconfinement-pistes-cyclables-temporaires/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2021-10-03T04:38:16,,3 - search request,,mairie-de-paris,False,False,False,False,False,False,False,False,
5ebf65a39780808d9d233919,Déconfinement - Pistes cyclables temporaires,deconfinement-pistes-cyclables-temporaires,https://www.data.gouv.fr/fr/datasets/deconfinement-pistes-cyclables-temporaires/,69f340d7-f2bc-4272-87a2-30da03b5e1aa,Export au format CSV,https://opendata.paris.fr/explore/dataset/deconfinement-pistes-cyclables-temporaires/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2021-10-03T04:38:16,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
5eafc3d331f3828196c82224,Aménagements cyclables transitoires,amenagements-cyclables-transitoires,https://www.data.gouv.fr/fr/datasets/amenagements-cyclables-transitoires/,3f1d4f08-f817-4d9c-a722-6fd3be136a54,fr-dpt93-1733 (export SHP/WGS-84),https://transcode.geo.data.gouv.fr/services/5e2a1e6cfa4268bc2552fabc/feature-types/fr-dpt93-1733?format=SHP&projection=WGS84,2020-07-10T06:38:04.780000,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
5eafc3d331f3828196c82224,Aménagements cyclables transitoires,amenagements-cyclables-transitoires,https://www.data.gouv.fr/fr/datasets/amenagements-cyclables-transitoires/,e5e142a8-8d38-4d66-baad-53e4525c415f,fr-dpt93-1733 (export GeoJSON),https://transcode.geo.data.gouv.fr/services/5e2a1e6cfa4268bc2552fabc/feature-types/fr-dpt93-1733?format=GeoJSON&projection=WGS84,2020-07-10T06:38:04.780000,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
