dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,error_type,organization_or_owner,resource_found_by,initial_version_name,is_valid_v_1.0.1,is_valid_v_1.0.2,is_valid_one_version,most_recent_valid_version,is_downloaded,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,resource_schema_update_success,producer_notification_success,schema_name,is_schema_version_updated,is_schema_added,is_schema_dropped
573db5ef88ee384011d1b934,Données de consommation d'électricité des ministères en 2014,donnees-de-consommation-delectricite-des-ministeres-en-2014,https://demo.data.gouv.fr/fr/datasets/donnees-de-consommation-delectricite-des-ministeres-en-2014/,d7830226-c32f-45c5-9931-b04abd4ebd4d,Vague 2 - MEDDE.zip,https://data.economie.gouv.fr/api/datasets/1.0/donnees-de-consommation-delectricite-des-ministeres/attachments/vague_2_medde_zip,2018-12-13T20:33:33,wrong-file-format,,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
573db5ef88ee384011d1b934,Données de consommation d'électricité des ministères en 2014,donnees-de-consommation-delectricite-des-ministeres-en-2014,https://demo.data.gouv.fr/fr/datasets/donnees-de-consommation-delectricite-des-ministeres-en-2014/,988e63de-ca87-4317-9bec-4c179286b4bd,Vague 2 - SOCIAUX.zip,https://data.economie.gouv.fr/api/datasets/1.0/donnees-de-consommation-delectricite-des-ministeres/attachments/vague_2_sociaux_zip,2018-12-13T20:33:33,wrong-file-format,,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
573db5ef88ee384011d1b934,Données de consommation d'électricité des ministères en 2014,donnees-de-consommation-delectricite-des-ministeres-en-2014,https://demo.data.gouv.fr/fr/datasets/donnees-de-consommation-delectricite-des-ministeres-en-2014/,9a3652a3-9eb1-4d81-8d8c-15e0f8052b3a,Vague 3 - FINANCES.zip,https://data.economie.gouv.fr/api/datasets/1.0/donnees-de-consommation-delectricite-des-ministeres/attachments/vague_3_finances_zip,2018-12-13T20:33:33,wrong-file-format,,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
573db5ef88ee384011d1b934,Données de consommation d'électricité des ministères en 2014,donnees-de-consommation-delectricite-des-ministeres-en-2014,https://demo.data.gouv.fr/fr/datasets/donnees-de-consommation-delectricite-des-ministeres-en-2014/,486c5e59-53eb-4c74-9e7d-52d4dbbb3fae,Vague 3 - INTERIEUR.zip,https://data.economie.gouv.fr/api/datasets/1.0/donnees-de-consommation-delectricite-des-ministeres/attachments/vague_3_interieur_zip,2018-12-13T20:33:33,wrong-file-format,,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
573db5ef88ee384011d1b934,Données de consommation d'électricité des ministères en 2014,donnees-de-consommation-delectricite-des-ministeres-en-2014,https://demo.data.gouv.fr/fr/datasets/donnees-de-consommation-delectricite-des-ministeres-en-2014/,0525875b-fd4c-4723-9d1b-6a20065b77c1,Vague 3 - Lot 1 - Consommation annuelle d'électricité.xls,https://data.economie.gouv.fr/api/datasets/1.0/donnees-de-consommation-delectricite-des-ministeres/attachments/vague_3_lot_1_consommation_annuelle_d_electricite_xls,2018-12-13T20:33:33,wrong-file-format,,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
573db5ef88ee384011d1b934,Données de consommation d'électricité des ministères en 2014,donnees-de-consommation-delectricite-des-ministeres-en-2014,https://demo.data.gouv.fr/fr/datasets/donnees-de-consommation-delectricite-des-ministeres-en-2014/,33c1cdc8-100b-40c3-bc15-efdc5fa8d877,Vague 3 - Lot 2 - Consommation annuelle d'électricité.xls,https://data.economie.gouv.fr/api/datasets/1.0/donnees-de-consommation-delectricite-des-ministeres/attachments/vague_3_lot_2_consommation_annuelle_d_electricite_xls,2018-12-13T20:33:33,wrong-file-format,,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
573db5ef88ee384011d1b934,Données de consommation d'électricité des ministères en 2014,donnees-de-consommation-delectricite-des-ministeres-en-2014,https://demo.data.gouv.fr/fr/datasets/donnees-de-consommation-delectricite-des-ministeres-en-2014/,0a8a9b53-dac4-4f35-a77e-7771663b00b7,Vague 3 - INTERIEUR_2.zip,https://data.economie.gouv.fr/api/datasets/1.0/donnees-de-consommation-delectricite-des-ministeres/attachments/vague_3_interieur_2_zip,2018-12-13T20:33:33,wrong-file-format,,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
573db5ef88ee384011d1b934,Données de consommation d'électricité des ministères en 2014,donnees-de-consommation-delectricite-des-ministeres-en-2014,https://demo.data.gouv.fr/fr/datasets/donnees-de-consommation-delectricite-des-ministeres-en-2014/,4dc2975c-cc97-492d-a7e7-996b630b5f97,Vague 2 - Lot 2 - Consommation annuelle d'électricité.xls,https://data.economie.gouv.fr/api/datasets/1.0/donnees-de-consommation-delectricite-des-ministeres/attachments/vague_2_lot_2_consommation_annuelle_d_electricite_xls,2018-12-13T20:33:33,wrong-file-format,,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5fc4d54b152932f5fc610d85,Programmation des achats de l'Etat 2020-2023,programmation-des-achats-de-letat-2020-2023,https://demo.data.gouv.fr/fr/datasets/programmation-des-achats-de-letat-2020-2023/,7d583759-5ff5-4356-92cd-b88552edca64,programmation-2020-2023.xlsx,https://static.data.gouv.fr/resources/programmation-des-achats-de-letat-2020-2023/20201130-122035/programmation-2020-2023.xlsx,2020-11-30T12:20:41.319000,wrong-file-format,,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
54295e4188ee380326a5915d,Défibrillateurs,defibrillateurs-1,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-1/,4afdebe0-e452-4282-a9ef-bc1d55aee36c,Localisation des défibrillateurs à Saint-Malo,https://static.data.gouv.fr/resources/35288-STMALO-Defibrillateurs.kml,2014-09-29T15:32:13.230000,wrong-file-format,,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
