dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_0.1.0,is_valid_v_0.1.1,is_valid_v_0.1.2,is_valid_v_0.1.3,is_valid_v_0.1.4,is_valid_one_version,most_recent_valid_version,is_downloaded,is_empty,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,resource_schema_update_success,producer_notification_success,schema_name,is_schema_version_updated,is_schema_added,is_schema_dropped
5a3a8a00c751df43a87a2472,Accessibilité - Stationnement PMR,accessibilite-stationnement-pmr,https://demo.data.gouv.fr/fr/datasets/accessibilite-stationnement-pmr/,16721942-a18d-4a2d-bc75-82375cb7d21d,Accessibilité - Stationnement PMR,https://data.agglo-lehavre.fr/api/v1/file/data/179/ACCESS_STATIONNEMENT_PMR/WFS,2018-07-26T09:19:35.794000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5a3a8a00c751df43a87a2472,Accessibilité - Stationnement PMR,accessibilite-stationnement-pmr,https://demo.data.gouv.fr/fr/datasets/accessibilite-stationnement-pmr/,64ca028b-bf2a-498b-bdbd-ee39ff4bed5c,Accessibilité - Stationnement PMR,https://data.agglo-lehavre.fr/api/v1/file/data/179/ACCESS_STATIONNEMENT_PMR/kmz,2018-07-26T09:19:35.795000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5a3a8a00c751df43a87a2472,Accessibilité - Stationnement PMR,accessibilite-stationnement-pmr,https://demo.data.gouv.fr/fr/datasets/accessibilite-stationnement-pmr/,dea04f9f-db59-4b9b-971e-452a292fb207,Accessibilité - Stationnement PMR,https://data.agglo-lehavre.fr/api/v1/file/data/179/ACCESS_STATIONNEMENT_PMR/json,2018-07-26T09:19:35.796000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5cb043238b4c410a38247545,Zone 30 km/h,zone-30-km-h,https://demo.data.gouv.fr/fr/datasets/zone-30-km-h/,47a1d03b-967d-4aef-a04d-6a258fa0cb40,Liste des zones limitées à 30 km/h sur la commune de Saint-Paul-lès-Dax (Format SHAPE),https://static.data.gouv.fr/resources/zone-30-km-h/20190412-095006/zone30-saint-paul-les-dax.zip,2019-04-12T09:50:39.858000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5a3a8a00c751df43a87a2472,Accessibilité - Stationnement PMR,accessibilite-stationnement-pmr,https://demo.data.gouv.fr/fr/datasets/accessibilite-stationnement-pmr/,5c543305-d657-4013-b86b-92b99fb108e9,Accessibilité - Stationnement PMR,https://data.agglo-lehavre.fr/api/v1/file/data/179/ACCESS_STATIONNEMENT_PMR/shp,2018-07-26T09:19:35.798000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5cb043238b4c410a38247545,Zone 30 km/h,zone-30-km-h,https://demo.data.gouv.fr/fr/datasets/zone-30-km-h/,c1eefbd9-54b6-4f69-a07c-36fb893be46f,Liste des zones limitées à 30 km/h sur la commune de Saint-Paul-lès-Dax (Format GEOJSON),https://static.data.gouv.fr/resources/zone-30-km-h/20190412-095006/zone30-saint-paul-les-dax.geojson,2019-04-12T09:50:32.121000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5cb043238b4c410a38247545,Zone 30 km/h,zone-30-km-h,https://demo.data.gouv.fr/fr/datasets/zone-30-km-h/,91741ea6-5766-4360-821a-9b418605620d,Document décrivant le modèle de données,https://static.data.gouv.fr/resources/zone-30-km-h/20190412-095050/spec-zone30-saint-paul-les-dax.pdf,2019-04-12T09:51:16.701000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5cb5ec6106e3e71c8f62e169,Parkings,parkings,https://demo.data.gouv.fr/fr/datasets/parkings/,cac66e7f-330b-4580-97f4-3ce354691a6c,Export au format CSV,https://data.seineouest.fr/explore/dataset/parkings/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2021-09-12T05:02:00,grand-paris-seine-ouest,,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
600fe3d30f3e90e9515d201f,Parkings enclos ou ouvrage à Chambéry,parkings-enclos-ou-ouvrage-a-chambery-1,https://demo.data.gouv.fr/fr/datasets/parkings-enclos-ou-ouvrage-a-chambery-1/,e4505290-d81d-4f61-bd2c-7ac5fb6f3557,Export au format JSON,https://donnees.grandchambery.fr/explore/dataset/parkings-enclos-ou-ouvrage-a-chambery_v2/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2020-07-30T15:05:38.572000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5a3a8a00c751df43a87a2472,Accessibilité - Stationnement PMR,accessibilite-stationnement-pmr,https://demo.data.gouv.fr/fr/datasets/accessibilite-stationnement-pmr/,a4c44b28-9cd8-4282-87fa-acb7a9b2e817,Accessibilité - Stationnement PMR,https://data.agglo-lehavre.fr/api/v1/file/data/179/ACCESS_STATIONNEMENT_PMR/dxf,2018-07-26T09:19:35.797000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
600fe3d30f3e90e9515d201f,Parkings enclos ou ouvrage à Chambéry,parkings-enclos-ou-ouvrage-a-chambery-1,https://demo.data.gouv.fr/fr/datasets/parkings-enclos-ou-ouvrage-a-chambery-1/,d103dd6e-ae49-469a-ac78-a96f1c2b59ab,Export au format CSV,https://donnees.grandchambery.fr/explore/dataset/parkings-enclos-ou-ouvrage-a-chambery_v2/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2020-07-30T15:05:38.572000,ville-de-chambery,,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5b60645a06e3e73216e1d920,Enquête déplacements (2015) en Loire-Atlantique,enquete-deplacements-2015-en-loire-atlantique,https://demo.data.gouv.fr/fr/datasets/enquete-deplacements-2015-en-loire-atlantique/,cc11d2c6-4ea5-42ff-a733-faadd398e148,donnees_EDGT44_2015.zip,https://data.loire-atlantique.fr/api/datasets/1.0/224400028_enquete-deplacements-en-loire-atlantique/attachments/donnees_edgt44_2015_zip,2015-09-30T00:00:00,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5ce889a59ce2e755dc0dbf2c,Parkings du centre-ville de Digne-les-Bains,parkings-du-centre-ville-de-digne-les-bains,https://demo.data.gouv.fr/fr/datasets/parkings-du-centre-ville-de-digne-les-bains/,0243b96c-c1f0-4a82-ad60-edf259ad47c8,DIGNE-PARKING-2020.csv,https://trouver.datasud.fr/dataset/7e7fb15f-d2cb-4e42-849d-878c56920c91/resource/0243b96c-c1f0-4a82-ad60-edf259ad47c8/download/digne-parking-2020.csv,2020-05-13T00:00:00,ville-de-digne-les-bains,,3 - search request,,False,False,False,False,True,True,0.1.4,True,False,False,True,False,True,,etalab/schema-stationnement,False,True,False
5ce889a59ce2e755dc0dbf2c,Parkings du centre-ville de Digne-les-Bains,parkings-du-centre-ville-de-digne-les-bains,https://demo.data.gouv.fr/fr/datasets/parkings-du-centre-ville-de-digne-les-bains/,91105279-dcbb-4615-8cc9-a5ba97853e6a,DIGNE-PARKING-2020.ods,https://trouver.datasud.fr/dataset/7e7fb15f-d2cb-4e42-849d-878c56920c91/resource/91105279-dcbb-4615-8cc9-a5ba97853e6a/download/digne-parking-2020.ods,2020-05-13T00:00:00,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5ce889a59ce2e755dc0dbf2c,Parkings du centre-ville de Digne-les-Bains,parkings-du-centre-ville-de-digne-les-bains,https://demo.data.gouv.fr/fr/datasets/parkings-du-centre-ville-de-digne-les-bains/,a9f9033c-ca20-4ea2-a2cc-f62eeecd75cf,DIGNE-PARKING-2020.xls,https://trouver.datasud.fr/dataset/7e7fb15f-d2cb-4e42-849d-878c56920c91/resource/a9f9033c-ca20-4ea2-a2cc-f62eeecd75cf/download/digne-parking-2020.xls,2020-05-13T00:00:00,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5b60645a06e3e73216e1d920,Enquête déplacements (2015) en Loire-Atlantique,enquete-deplacements-2015-en-loire-atlantique,https://demo.data.gouv.fr/fr/datasets/enquete-deplacements-2015-en-loire-atlantique/,caa085fb-7cce-4272-8c65-ab5c17634eea,Notice.pdf,https://data.loire-atlantique.fr/api/datasets/1.0/224400028_enquete-deplacements-en-loire-atlantique/attachments/notice_pdf,2015-09-30T00:00:00,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5b60645a06e3e73216e1d920,Enquête déplacements (2015) en Loire-Atlantique,enquete-deplacements-2015-en-loire-atlantique,https://demo.data.gouv.fr/fr/datasets/enquete-deplacements-2015-en-loire-atlantique/,2cb4dda8-d858-400f-b5c5-2d791fc8670c,Deplacement_txt.zip,https://data.loire-atlantique.fr/api/datasets/1.0/224400028_enquete-deplacements-en-loire-atlantique/attachments/deplacement_txt_zip,2015-09-30T00:00:00,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5b60645a06e3e73216e1d920,Enquête déplacements (2015) en Loire-Atlantique,enquete-deplacements-2015-en-loire-atlantique,https://demo.data.gouv.fr/fr/datasets/enquete-deplacements-2015-en-loire-atlantique/,371fc4a8-eb26-42f7-8714-9d4474597b8e,bat8-enquete_deplacement.pdf,https://data.loire-atlantique.fr/api/datasets/1.0/224400028_enquete-deplacements-en-loire-atlantique/attachments/bat8_enquete_deplacement_pdf,2015-09-30T00:00:00,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5b60645a06e3e73216e1d920,Enquête déplacements (2015) en Loire-Atlantique,enquete-deplacements-2015-en-loire-atlantique,https://demo.data.gouv.fr/fr/datasets/enquete-deplacements-2015-en-loire-atlantique/,4fbd8e57-4ced-4765-82ca-ff4e586fb32c,4_Exploitation_standard_PartieEDGT_TOTAL.zip,https://data.loire-atlantique.fr/api/datasets/1.0/224400028_enquete-deplacements-en-loire-atlantique/attachments/4_exploitation_standard_partieedgt_total_zip,2015-09-30T00:00:00,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5cb5ec6106e3e71c8f62e169,Parkings,parkings,https://demo.data.gouv.fr/fr/datasets/parkings/,a7c7a8df-f3b2-4f59-8217-2aaf762b43e1,Export au format JSON,https://data.seineouest.fr/explore/dataset/parkings/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2021-09-12T05:02:00,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5b60645a06e3e73216e1d920,Enquête déplacements (2015) en Loire-Atlantique,enquete-deplacements-2015-en-loire-atlantique,https://demo.data.gouv.fr/fr/datasets/enquete-deplacements-2015-en-loire-atlantique/,86cb73de-be24-44e7-a9d3-62e2db5d86fe,3_Documents_explicatifs.zip,https://data.loire-atlantique.fr/api/datasets/1.0/224400028_enquete-deplacements-en-loire-atlantique/attachments/3_documents_explicatifs_zip,2015-09-30T00:00:00,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5b60645a06e3e73216e1d920,Enquête déplacements (2015) en Loire-Atlantique,enquete-deplacements-2015-en-loire-atlantique,https://demo.data.gouv.fr/fr/datasets/enquete-deplacements-2015-en-loire-atlantique/,fe0b0422-6360-4382-a08d-be932de5d284,Enquete_deplacements_opendata.zip,https://data.loire-atlantique.fr/api/datasets/1.0/224400028_enquete-deplacements-en-loire-atlantique/attachments/enquete_deplacements_opendata_zip,2015-09-30T00:00:00,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
5b60645a06e3e73216e1d920,Enquête déplacements (2015) en Loire-Atlantique,enquete-deplacements-2015-en-loire-atlantique,https://demo.data.gouv.fr/fr/datasets/enquete-deplacements-2015-en-loire-atlantique/,6c73400a-960e-44f5-8ef3-84547b79ba99,Export au format JSON,https://data.loire-atlantique.fr/explore/dataset/224400028_enquete-deplacements-en-loire-atlantique/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2015-09-30T00:00:00,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
