dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,error_type,resource_found_by,initial_version_name,organization_or_owner,is_valid_v_1.0.2,is_valid_one_version,most_recent_valid_version,is_downloaded
59592392a3a7291dd09c81c5,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr/,6fc501c2-8382-4477-b7ce-ec13536e8b0a,export de la couche SIG de référence en geoJson,https://datacat.datalocale.fr/file/416357/raw/ows%3Fservice%3DWFS%26version%3D1.0.0%26request%3DGetFeature%26typeName%3Dodt_det_pdipr%26outputFormat%3Djson,2017-09-29T07:52:35.152000,wrong-file-format,3 - search request,,,False,False,,False
59592392a3a7291dd09c81c5,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr/,9fa4a19e-a633-41f5-be20-dafd1c9d2a27,export de la couche SIG de référence en KML,https://datacat.datalocale.fr/file/416361/raw/odt_det_pdipr.kmz,2017-09-11T06:17:25.247000,wrong-file-format,3 - search request,,,False,False,,False
59592392a3a7291dd09c81c5,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr/,71d66bcf-8d7e-4b72-ba1b-acbd0798217f,export de la couche SIG de référence en csv,https://datacat.datalocale.fr/file/416359/raw/ows%3Fservice%3DWFS%26version%3D1.0.0%26request%3DGetFeature%26typeName%3Dodt_det_pdipr%26outputFormat%3Dcsv,2017-09-11T06:17:25.246000,wrong-file-format,3 - search request,,,False,False,,False
59592392a3a7291dd09c81c5,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr/,f3b48062-b4d0-492c-9741-795d33960e56,export de la couche SIG de référence en Shape,https://datacat.datalocale.fr/file/416355/raw/ows%3Fservice%3DWFS%26version%3D1.0.0%26request%3DGetFeature%26typeName%3Dodt_det_pdipr%26outputFormat%3DSHAPE-ZIP,2017-09-11T06:17:25.246000,wrong-file-format,3 - search request,,,False,False,,False
59592392a3a7291dd09c81c5,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr/,0728f4b2-a1ca-41ab-855b-2844d26c64e9,export de la couche SIG de référence en geoJson,https://datacat.datalocale.fr/file/416357/raw/ows%3Fservice%3DWFS%26version%3D1.0.0%26request%3DGetFeature%26typeName%3Dodt_det_pdipr%26outputFormat%3Djson,2017-09-11T06:17:25.245000,wrong-file-format,3 - search request,,,False,False,,False
59592392a3a7291dd09c81c5,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr/,014eb26a-2df4-4ad2-84cd-3cf3a430bd86,export de la couche SIG de référence en csv,https://datacat.datalocale.fr/file/416359/raw/ows%3Fservice%3DWFS%26version%3D1.0.0%26request%3DGetFeature%26typeName%3Dodt_det_pdipr%26outputFormat%3Dcsv,2017-08-28T06:09:58.527000,wrong-file-format,3 - search request,,,False,False,,False
59592392a3a7291dd09c81c5,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr/,91ebd089-150f-48f7-a7a3-39602cf4813a,export de la couche SIG de référence en geoJson,https://datacat.datalocale.fr/file/416357/raw/ows%3Fservice%3DWFS%26version%3D1.0.0%26request%3DGetFeature%26typeName%3Dodt_det_pdipr%26outputFormat%3Djson,2017-08-28T06:09:58.526000,wrong-file-format,3 - search request,,,False,False,,False
59cf1b21b59508043de9b89d,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr-1,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr-1/,a16368d5-f8e0-4e79-aebb-8643482490ba,export de la couche SIG de référence en KML,https://datacat.datalocale.fr/file/416361/raw/odt_det_pdipr.kmz,2017-10-02T07:51:50.331000,wrong-file-format,3 - search request,,,False,False,,False
5978147da3a72957e0f83664,Via Garona Chemin de Grande Randonnée GR861,via-garona-chemin-de-grande-randonnee-gr861,https://www.data.gouv.fr/fr/datasets/via-garona-chemin-de-grande-randonnee-gr861/,9ec867f9-c756-4c76-baac-7349594d6ef8,via-garona-guide-pratique.pdf,http://data.haute-garonne.fr/api/datasets/1.0/via-garona/attachments/via_garona_guide_pratique_pdf,2017-07-03T14:33:08,wrong-file-format,3 - search request,,,False,False,,False
5d67bd2a8b4c410fa58926e1,Réseau de sentiers inscrits au Plan départemental des Itinéraires de Promenade et de Randonnée (PDIPR) d'Ille-et-Vilaine,reseau-de-sentiers-inscrits-au-plan-departemental-des-itineraires-de-promenade-et-de-randonnee-pdipr-dille-et-vilaine,https://www.data.gouv.fr/fr/datasets/reseau-de-sentiers-inscrits-au-plan-departemental-des-itineraires-de-promenade-et-de-randonnee-pdipr-dille-et-vilaine/,7896ab8b-cc40-48d9-8b31-2b36375856ed,pdipr_35 (export GeoJSON),https://transcode.geo.data.gouv.fr/services/5e2a1f69fa4268bc255e7551/feature-types/cd35:pdipr_35?format=GeoJSON&projection=WGS84,2020-01-24T12:46:27.330000,wrong-file-format,3 - search request,,,False,False,,False
59592392a3a7291dd09c81c5,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr/,80770ecd-cd21-4ee5-b3fd-3dc3d11251ab,export de la couche SIG de référence en geoJson,https://datacat.datalocale.fr/file/416357/raw/ows%3Fservice%3DWFS%26version%3D1.0.0%26request%3DGetFeature%26typeName%3Dodt_det_pdipr%26outputFormat%3Djson,2017-08-23T06:09:12.977000,wrong-file-format,3 - search request,,,False,False,,False
5883cbdf88ee386def9b81d2,Périmètre du plan de prévention des risques naturels de Châtel (Haute-Savoie) – approuvé le 03/11/2011,perimetre-du-plan-de-prevention-des-risques-naturels-de-chatel-haute-savoie-approuve-le-03-11-2011,https://www.data.gouv.fr/fr/datasets/perimetre-du-plan-de-prevention-des-risques-naturels-de-chatel-haute-savoie-approuve-le-03-11-2011/,64281514-5b48-4437-a401-8c04b322d3aa,L_CHASSE_LIMITATION_S.pdf,https://files.geo.data.gouv.fr/link-proxy/atom.geo-ide.developpement-durable.gouv.fr/2020-02-29/5e59bd0b731483fad975de6c/dataset-1582939403100.zip/documents/l-chasse-limitation-s.pdf,2020-03-05T06:39:13.645000,wrong-file-format,3 - search request,,,False,False,,False
5883cbdf88ee386def9b81d2,Périmètre du plan de prévention des risques naturels de Châtel (Haute-Savoie) – approuvé le 03/11/2011,perimetre-du-plan-de-prevention-des-risques-naturels-de-chatel-haute-savoie-approuve-le-03-11-2011,https://www.data.gouv.fr/fr/datasets/perimetre-du-plan-de-prevention-des-risques-naturels-de-chatel-haute-savoie-approuve-le-03-11-2011/,68d77446-28ed-4ff8-b24f-712bc9811bd8,L_CHASSE_LIMITATION_S_074.shp (export SHP/WGS-84),https://transcode.geo.data.gouv.fr/links/5e2a21f6fa4268bc257a2c51/downloads/5e59bd0b731483938c75de6b?format=SHP&projection=WGS84,2020-03-05T06:39:13.645000,wrong-file-format,3 - search request,,,False,False,,False
5883cbdf88ee386def9b81d2,Périmètre du plan de prévention des risques naturels de Châtel (Haute-Savoie) – approuvé le 03/11/2011,perimetre-du-plan-de-prevention-des-risques-naturels-de-chatel-haute-savoie-approuve-le-03-11-2011,https://www.data.gouv.fr/fr/datasets/perimetre-du-plan-de-prevention-des-risques-naturels-de-chatel-haute-savoie-approuve-le-03-11-2011/,d97a8e57-0f03-4175-bc2a-d759f8cba933,L_CHASSE_LIMITATION_S_074.shp (export GeoJSON),https://transcode.geo.data.gouv.fr/links/5e2a21f6fa4268bc257a2c51/downloads/5e59bd0b731483938c75de6b?format=GeoJSON&projection=WGS84,2020-03-05T06:39:13.644000,wrong-file-format,3 - search request,,,False,False,,False
