dataset_id,dataset_slug,dataset_page,resource_id,resource_title,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_1.1.0,is_valid_v_2.0.0,is_valid_v_2.1.0,is_valid_v_2.1.1,is_valid_v_2.1.2,is_valid_v_2.1.3,is_valid_one_version,most_recent_valid_version,is_downloaded,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,resource_schema_update_success,is_empty,schema_name,is_schema_version_updated,is_schema_added,is_schema_dropped
5e42c807634f4125899acbd1,deliberations-2019-1,https://demo.data.gouv.fr/fr/datasets/deliberations-2019-1/,fe5e3e4a-b6e0-4ad9-a2f2-d9c0b630537e,2019-28-d-accroisstempactivtech.pdf,2020-02-11T16:34:02.569000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
5e42c807634f4125899acbd1,deliberations-2019-1,https://demo.data.gouv.fr/fr/datasets/deliberations-2019-1/,938ed888-8ae2-42d7-a2fd-71a5c2700822,2019-01-d-rmoral18.pdf,2020-02-11T16:34:03.969000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
5e42c807634f4125899acbd1,deliberations-2019-1,https://demo.data.gouv.fr/fr/datasets/deliberations-2019-1/,ce1febc0-7555-4561-a971-01904a7f5fc7,2019-03-ca18.pdf,2020-02-11T16:34:25.901000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
5e42c807634f4125899acbd1,deliberations-2019-1,https://demo.data.gouv.fr/fr/datasets/deliberations-2019-1/,84acd27a-1969-4f9e-ac98-71a701d1e84c,2019-15-d-indem-receveur.pdf,2020-02-11T16:29:39.017000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
5e42c807634f4125899acbd1,deliberations-2019-1,https://demo.data.gouv.fr/fr/datasets/deliberations-2019-1/,e208180a-73ff-442a-8374-7f3506ad554f,2019-14-d-subv-aesn.pdf,2020-02-11T16:29:33.213000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
580f1be5c751df1ec2c562c5,deliberations-du-conseil-municipal-annee-2015,https://demo.data.gouv.fr/fr/datasets/deliberations-du-conseil-municipal-annee-2015/,35c016bf-f6f9-40cc-bbc8-5e6304562b7a,Délibération n°142-2015 du 09-12-2015 - Relative à l'institution de commissions municipales et à la désignation des membres,2016-12-20T19:57:26.375000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
580f1be5c751df1ec2c562c5,deliberations-du-conseil-municipal-annee-2015,https://demo.data.gouv.fr/fr/datasets/deliberations-du-conseil-municipal-annee-2015/,b03ae7e1-c42d-4d01-b83c-ef50b9fcef0f,Délibération n°141-2015 du 09-12-2015 - Désignation des représentants du conseil au sein des commissions internes et externes,2016-12-20T19:57:10.088000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
580f1be5c751df1ec2c562c5,deliberations-du-conseil-municipal-annee-2015,https://demo.data.gouv.fr/fr/datasets/deliberations-du-conseil-municipal-annee-2015/,8bfadfba-b2ed-4d79-b51f-d7c20eb01cd3,Délibération n°124-2015 du 09-12-2015 - Autorisant le maire à signer un avenant avec TECHNIVAL traitement de déchets verts,2016-12-20T19:52:25.733000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
580f1be5c751df1ec2c562c5,deliberations-du-conseil-municipal-annee-2015,https://demo.data.gouv.fr/fr/datasets/deliberations-du-conseil-municipal-annee-2015/,4c3153a5-4ebd-45b6-ac37-10d6f299b0b1,Délibération n°125-2015 du 09-12-2015 - Approuvant la mise en oeuvre de la procédure de révision PGA,2016-12-20T19:52:40.854000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
580f1be5c751df1ec2c562c5,deliberations-du-conseil-municipal-annee-2015,https://demo.data.gouv.fr/fr/datasets/deliberations-du-conseil-municipal-annee-2015/,b52b2952-1014-4e00-9ea2-16cfd45c7ad3,Délibération n°126-2015 du 09-12-2015 - Modifiant la délibération n°072-2015 du 27-08-2015 approuvant le projet Fare Miti,2016-12-20T19:52:56.723000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
