siretAcheteur,urlProfilAcheteur,urlDCAT,coordonnees,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner
25351449100047,https://marches.megalis.bretagne.bzh,,SYNDICAT MIXTE E-MEGALIS BRETAGNE 35510 CESSON-SEVIGNE,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
20003537600025,https://marches.megalis.bretagne.bzh,,SYNDICAT MIXTE DU BASSIN DU LINON 35190 LA CHAPELLE-AUX-FILTZMEENS,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21560111300016,https://marches.megalis.bretagne.bzh,,COMMUNE DE LIMERZEL 56220 LIMERZEL,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21350360000016,https://marches.megalis.bretagne.bzh,,COMMUNE DE VITRE 35500 VITRE,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21290098900014,https://marches.megalis.bretagne.bzh,,COMMUNE DE LAMPAUL PLOUARZEL 29810 LAMPAUL-PLOUARZEL,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21560127900015,https://marches.megalis.bretagne.bzh,,COMMUNE DE MAURON 56430 MAURON,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
26220075100044,https://marches.megalis.bretagne.bzh,,CENTRE COMMUNAL D'ACTION SOCIALE 22120 HILLION,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
13000018500020,https://marches.megalis.bretagne.bzh,,GIP MAISON DEP PERSONNES HANDICAPEES 22190 PLERIN,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21560034700011,https://marches.megalis.bretagne.bzh,,COMMUNE DE CARNAC 56340 CARNAC,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21350358400012,https://marches.megalis.bretagne.bzh,,COMMUNE DE LA VILLE ES NONAIS 35430 LA VILLE-ES-NONAIS,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
