n_amenageur,n_operateur,n_enseigne,id_station,n_station,ad_station,code_insee,Xlongitude,Ylatitude,nbre_pdc,id_pdc,puiss_max,type_prise,acces_recharge,accessibilité,observations,date_maj,last_modified,datagouv_resource_id,Numéro pdc,Numéro station,accessibilitÃ©
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*30,IZIVIA Grand Lyon | Lyon | Rue d'Arménie,"Face au 24-26 Rue d'Arménie, Lyon",69123,4.850437,45.754512,4,FR*GLY*ELYON*30*1*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*30,IZIVIA Grand Lyon | Lyon | Rue d'Arménie,"Face au 24-26 Rue d'Arménie, Lyon",69123,4.850437,45.754512,4,FR*GLY*ELYON*30*2*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*30,IZIVIA Grand Lyon | Lyon | Rue d'Arménie,"Face au 24-26 Rue d'Arménie, Lyon",69123,4.850437,45.754512,4,FR*GLY*ELYON*30*1*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*30,IZIVIA Grand Lyon | Lyon | Rue d'Arménie,"Face au 24-26 Rue d'Arménie, Lyon",69123,4.850437,45.754512,4,FR*GLY*ELYON*30*2*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*47,IZIVIA Grand Lyon | Francheville | Place de l'Europe,"Place de l'Europe, Francheville",69089,4.773797,45.738293,4,FR*GLY*ELYON*47*2*2,22,T2,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*81,IZIVIA Grand Lyon | Lyon 3 | Duguesclin - Les halles,"175, Rue Duguesclin, Lyon",69123,4.8483973,45.763361,4,FR*GLY*ELYON*81*3*1,7,T2,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*81,IZIVIA Grand Lyon | Lyon 3 | Duguesclin - Les halles,"175, Rue Duguesclin, Lyon",69123,4.8483973,45.763361,4,FR*GLY*ELYON*81*2*1,7,T2,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*81,IZIVIA Grand Lyon | Lyon 3 | Duguesclin - Les halles,"175, Rue Duguesclin, Lyon",69123,4.8483973,45.763361,4,FR*GLY*ELYON*81*1*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*73,IZIVIA Grand Lyon | Lyon 3 | Avenue Lacassagne,"10 Avenue Lacassagne, Lyon",69123,4.8635214,45.756307,4,FR*GLY*ELYON*73*4*1,7,T2,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*73,IZIVIA Grand Lyon | Lyon 3 | Avenue Lacassagne,"10 Avenue Lacassagne, Lyon",69123,4.8635214,45.756307,4,FR*GLY*ELYON*73*3*1,7,T2,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
