id_lieu,nom_lieu,ad_lieu,com_lieu,insee,type,date_maj,ouvert,source,Xlong,Ylat,nbre_pl,nbre_pmr,duree,horaires,proprio,lumiere,comm,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner
35257-C-104,Echangeur 30 - ZA Saint-Eustache,D3155 - La Bassetais,MAEN ROCH,35257,Aire de covoiturage,2021-06-08,true,110002011,-1.31243028894358,48.3997816853209,10,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35260-C-280,Saint Christophe des Bois,Rue du Relais des forges,SAINT-CHRISTOPHE-DES-BOIS,35260,Aire de covoiturage,2021-06-08,true,110002011,-1.24501513672047,48.2278251933977,,0,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35263-C-294,PLACE DU MARCHE,PLACE DU MARCHE,SAINT COULOMB,35263,Aire de covoiturage,2021-06-08,true,110002011,-1.91419937973604,48.6749929804221,30,0,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35265-C-179,Aire du rocher,Echangeur D137,Saint-Domineuc,35265,Aire de covoiturage,2021-06-08,true,110002011,-1.87419933248589,48.3652217538339,23,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35270-C-097,Le Clos Richard,Le Clos Richard,SAINT-GEORGES-DE-GREHAIGNE,35270,Aire de covoiturage,2021-06-08,true,110002011,-1.53660990624367,48.5643820090891,20,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35271-C-033,Place de la Mairie,Place de la Mairie,Saint-Georges-de-Reintembault,35271,Aire de covoiturage,2021-06-08,true,110002011,-1.24341595995281,48.5091785216463,10,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35275-C-169,Fouaye,Fouaye,Saint-Gilles,35275,Aire de covoiturage,2021-06-08,true,110002011,-1.80870133400004,48.1527835022983,11,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35283-C-092,Le Tertre Haut,Rue le Tertre haut,Saint Jean Sur Vilaine,35283,Aire de covoiturage,2021-06-08,true,110002011,-1.36462170693727,48.1164137319531,20,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35317-C-071,Le Petit Rocher,Echangeur D137,Saint-Symphorien,35317,Aire de covoiturage,2021-06-08,true,110002011,-1.80159382527405,48.2861508992112,24,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35288-C-260,GARE,,SAINT-MALO,35288,Aire de covoiturage,2021-06-08,true,110002011,-2.00610140539623,48.6460093875093,30,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35293-C-035,Le Pâtis Buret,Le Pâtis Buret,Rives-du-Couesnon,35293,Aire de covoiturage,2021-06-08,true,110002011,-1.35766633208634,48.3020184081824,12,0,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35294-C-048,P.A du Guenet,Z.A la Lande des Guénet,Sainte-Marie,35294,Aire de covoiturage,2021-06-08,true,110002011,-2.02116022305832,47.6984567237394,40,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35297-C-108,Rue Louis Pasteur,Rue Louis Pasteur,SAINT-MEEN-LE-GRAND,35297,Aire de covoiturage,2021-06-08,true,110002011,-2.17094666742155,48.1890467495114,16,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35305-C-101,Aire de covoiturage de Saint-Péran,Rue de la Mairie,Saint-Péran,35305,Aire de covoiturage,2021-06-08,true,110002011,-2.05848088232042,48.052762758114,,0,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35306-C-276,SAINT PERE CENTRE,Rue Arthur Regnault,SAINT-PERE-MARC-EN-POULET,35306,Aire de covoiturage,2021-06-08,true,110002011,-1.92438708623697,48.5880966276264,,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35306-C-059,Le Fort Saint-Père,Echangeur de Châteauneuf d'Ille-et-Vilaine,Saint-Père,35306,Aire de covoiturage,2021-06-08,true,110002011,-1.92342833858651,48.5653427535629,52,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35152-C-162,La croix de la mission,La croix de la mission,Liffré,35152,Aire de covoiturage,2021-06-08,true,110002011,-1.49582366618066,48.2198381691332,55,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35150-C-026,Villeneuve,VC face à la Zone de la Pilais,Lécousse,35150,Aire de covoiturage,2021-06-08,true,110002011,-1.23311744375032,48.3512940494858,35,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
22190-C-265,La Grignardais,Echangeur de la Grignardais RN176/RD766,PLESLIN-TRIGAVOU,22190,Aire de covoiturage,2021-06-08,true,110002011,-2.04078443071613,48.5219328338633,17,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35038-C-253,Breal sous Vitré,Route des Lagunes,BREAL-SOUS-VITRE,35038,Aire de covoiturage,2021-06-08,true,110002011,-1.06854432808248,48.0992454216502,,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35018-C-013,Place de l'Église,21 rue de Lesquen,La Bazouge-du-Désert,35018,Aire de covoiturage,2021-06-08,true,110002011,-1.10586745516611,48.4433415962599,40,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35019-C-003,Parking salle de sport,Rue de la Vallée,Bazouge-la-Pérouse,35019,Aire de covoiturage,2021-06-08,true,110002011,-1.57217338758439,48.4270692733778,3,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35022-C-132,Intercommunale,Rennes Métropole,Bécherel,35022,Aire de covoiturage,2021-06-08,true,110002011,-1.94630004256493,48.2968974918323,19,0,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35024-C-112,La Haute Plesse,La Haute Plesse,BETTON,35024,Aire de covoiturage,2021-06-08,true,110002011,-1.62705866596866,48.1799018316766,15,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
