id,name,postal_code,commune,numero,voie,lieu_dit,code_insee,siret,contact_url,site_internet,longitude,latitude,transport_station_presence,stationnement_presence,stationnement_pmr,stationnement_ext_presence,stationnement_ext_pmr,cheminement_ext_presence,cheminement_ext_ascenseur,entree_ascenseur,accueil_cheminement_ascenseur,cheminement_ext_terrain_accidente,cheminement_ext_plain_pied,cheminement_ext_nombre_marches,cheminement_ext_reperage_marches,cheminement_ext_sens_marches,cheminement_ext_main_courante,cheminement_ext_rampe,cheminement_ext_pente_presence,cheminement_ext_pente_degre_difficulte,cheminement_ext_pente_longueur,cheminement_ext_devers,cheminement_ext_bande_guidage,cheminement_ext_retrecissement,entree_reperage,entree_vitree,entree_vitree_vitrophanie,entree_plain_pied,entree_marches,entree_marches_reperage,entree_marches_main_courante,entree_marches_rampe,entree_marches_sens,entree_dispositif_appel,entree_dispositif_appel_type,entree_balise_sonore,entree_aide_humaine,entree_largeur_mini,entree_pmr,entree_porte_presence,entree_porte_manoeuvre,entree_porte_type,accueil_visibilite,accueil_personnels,accueil_equipements_malentendants_presence,accueil_equipements_malentendants,accueil_cheminement_plain_pied,accueil_cheminement_nombre_marches,accueil_cheminement_reperage_marches,accueil_cheminement_main_courante,accueil_cheminement_rampe,accueil_cheminement_sens_marches,accueil_retrecissement,sanitaires_presence,sanitaires_adaptes,labels,labels_familles_handicap,registre_url,conformite,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner
1702,Grande Plage,64500,Saint-Jean-de-Luz,8,Rue Vincent Barjonnet,,,32022964405241,https://fr.parkindigo.com/parking/saint-jean-de-luz-64500/grande-plage-64020500,https://fr.parkindigo.com/parking/saint-jean-de-luz-64500/grande-plage-64020500,-1.6605111,43.391843,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1701,Sainte Eugénie,64200,Biarritz,2,Place Sainte-Eugénie,,,32022964405241,https://fr.parkindigo.com/parking/biarritz-64200/sainte-eugenie-64000400,https://fr.parkindigo.com/parking/biarritz-64200/sainte-eugenie-64000400,-1.56384437,43.48209488,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1734,Montrouge Maurice Arnoux,92120,Montrouge,109,Rue Maurice Arnoux,,,32022964405241,https://fr.parkindigo.com/parking/montrouge-92120/montrouge-maurice-arnoux-92141400,https://fr.parkindigo.com/parking/montrouge-92120/montrouge-maurice-arnoux-92141400,2.31031697,48.81381235,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1736,Montrouge Victor Hugo - Marché,92120,Montrouge,9,Rue Victor Hugo,,,32022964405241,https://fr.parkindigo.com/parking/montrouge-92120/montrouge-victor-hugo-marche-92141200,https://fr.parkindigo.com/parking/montrouge-92120/montrouge-victor-hugo-marche-92141200,2.32037999,48.81635282,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1767,Saisons,92400,Courbevoie,,Rue du Général Audran,,,32022964405241,https://fr.parkindigo.com/parking/courbevoie-92400/saisons-92091500,https://fr.parkindigo.com/parking/courbevoie-92400/saisons-92091500,2.25274573,48.89056013,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1737,Montrouge Emile Cresp,92120,Montrouge,1,Place Emile Cresp,,,32022964405241,https://fr.parkindigo.com/parking/montrouge-92120/montrouge-emile-cresp-92142000,https://fr.parkindigo.com/parking/montrouge-92120/montrouge-emile-cresp-92142000,2.31911015,48.81868604,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1766,Reflets 1,92400,Courbevoie,,Liaison Médiane,,,32022964405241,https://fr.parkindigo.com/parking/courbevoie-92400/reflets-1-92091000,https://fr.parkindigo.com/parking/courbevoie-92400/reflets-1-92091000,2.24680135,48.89075988,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1765,Reflets 2,92400,Courbevoie,,Esplanade Nord,,,32022964405241,https://fr.parkindigo.com/parking/courbevoie-92400/reflets-2-92090900,https://fr.parkindigo.com/parking/courbevoie-92400/reflets-2-92090900,2.24679243,48.89079721,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1764,CCial P1 - CCial P2,92800,Puteaux,,Cours Valmy,,,32022964405241,https://fr.parkindigo.com/parking/puteaux-92800/ccial-p1-ccial-p2-92090100,https://fr.parkindigo.com/parking/puteaux-92800/ccial-p1-ccial-p2-92090100,2.23734647,48.89082999,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1763,Corolles,92400,Courbevoie,,Esplanade Nord,,,32022964405241,https://fr.parkindigo.com/parking/courbevoie-92400/corolles-92091100,https://fr.parkindigo.com/parking/courbevoie-92400/corolles-92091100,2.24672528,48.89081736,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1762,Marché,27000,Vernon,,Avenue Pierre Mendès France,,,32022964405241,https://fr.parkindigo.com/parking/vernon-27000/marche-27000400,https://fr.parkindigo.com/parking/vernon-27000/marche-27000400,1.485013,49.090624,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1761,Coeur de Ville,27000,Vernon,4,Rue Charles Joseph Riquier,,,32022964405241,https://fr.parkindigo.com/parking/vernon-27000/coeur-de-ville-27000200,https://fr.parkindigo.com/parking/vernon-27000/coeur-de-ville-27000200,1.483377,49.093427,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1760,Collégiale,27200,Vernon,21,Rue Bourbon Penthièvre,,,32022964405241,https://fr.parkindigo.com/parking/vernon-27000/collegiale-27000300,https://fr.parkindigo.com/parking/vernon-27000/collegiale-27000300,1.48772546,49.09357938,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1759,Dorée,45200,Montargis,,Allée Gérard Bouche,,,32022964405241,https://fr.parkindigo.com/parking/montargis-45200/doree-45010300,https://fr.parkindigo.com/parking/montargis-45200/doree-45010300,2.73361962,47.99418582,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1758,Le Martroi,45000,Orléans,2,Rue Bannier,,,32022964405241,https://fr.parkindigo.com/parking/orl%C3%83%C2%A9ans-45000/le-martroi-45000100,https://fr.parkindigo.com/parking/orl%C3%83%C2%A9ans-45000/le-martroi-45000100,1.90351118,47.90297353,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1757,Hôtel de Ville,45200,Montargis,41,Rue Gambetta,,,32022964405241,https://fr.parkindigo.com/parking/montargis-45200/hotel-de-ville-45010200,https://fr.parkindigo.com/parking/montargis-45200/hotel-de-ville-45010200,2.731109,47.9959,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1755,Ars Belcier,33000,Bordeaux,16,rue des Maraîchers,,,32022964405241,https://fr.parkindigo.com/parking/bordeaux-33000/ars-belcier-33001200,https://fr.parkindigo.com/parking/bordeaux-33000/ars-belcier-33001200,-0.546864706,44.821711123,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1754,Camille Jullian,33000,Bordeaux,2,Place Camille Jullian,,,32022964405241,https://fr.parkindigo.com/parking/bordeaux-33000/camille-jullian-33001400,https://fr.parkindigo.com/parking/bordeaux-33000/camille-jullian-33001400,-0.57197168,44.83877197,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1753,P3 - Dépose Minute - Zone Premium ,33800,Bordeaux,,Rond-Point Pierre Semard,,,32022964405241,https://fr.parkindigo.com/parking/bordeaux-33800/p3-depose-minute-zone-premium-33001300,https://fr.parkindigo.com/parking/bordeaux-33800/p3-depose-minute-zone-premium-33001300,-0.55509704,44.82349728,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1752,P3 - Gare Saint Jean Belcier,33800,Bordeaux,,Rond-Point Pierre Semard,,,32022964405241,https://fr.parkindigo.com/parking/bordeaux-33800/p3-gare-saint-jean-belcier-33000900,https://fr.parkindigo.com/parking/bordeaux-33800/p3-gare-saint-jean-belcier-33000900,-0.55513265,44.82352734,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
