dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_2.0.2,is_valid_one_version,most_recent_valid_version,is_downloaded,is_empty,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,resource_schema_update_success,producer_notification_success,schema_name,is_schema_version_updated,is_schema_added,is_schema_dropped
5bc5a475634f411a952c892f,Caractéristiques des points de charge pour véhicules électriques Electric 55 Charging  ouverts au public ,caracteristiques-des-points-de-charge-pour-vehicules-electriques-electric-55-charging-ouverts-au-public,https://www.data.gouv.fr/fr/datasets/caracteristiques-des-points-de-charge-pour-vehicules-electriques-electric-55-charging-ouverts-au-public/,60be29cf-4ee9-4657-805f-16b90960230a,irve-e55c-ajourle.14.08.20.csv,https://static.data.gouv.fr/resources/caracteristiques-des-points-de-charge-pour-vehicules-electriques-electric-55-charging-ouverts-au-public/20200814-151629/irve-e55c-ajourle.14.08.20.csv,2021-05-28T16:57:46.292000,plus-de-bornes,,1 - schema request,1.0.3,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
609a8e787755241db91d47fa,Installation de bornes de recharges sur Cavaillon,installation-de-bornes-de-recharges-sur-cavaillon,https://www.data.gouv.fr/fr/datasets/installation-de-bornes-de-recharges-sur-cavaillon/,0832728c-7ecf-4b79-ac44-a3d8df660658,Bornes de recharges GAMBUS et PHA,https://static.data.gouv.fr/resources/installation-de-bornes-de-recharges-sur-cavaillon/20210511-160232/data.csv,2021-05-28T16:57:47.247000,lionel-czimer,,1 - schema request,2.0.0,True,True,2.0.2,True,False,True,False,False,False,False,etalab/schema-irve,True,False,False
5c8924bf634f41385f1fb82c,Bornes de recharge du réseau SYDEGO,bornes-de-recharge-du-reseau-sydego-1,https://www.data.gouv.fr/fr/datasets/bornes-de-recharge-du-reseau-sydego-1/,e3bf20cc-3b4b-4e14-952b-252850d9c67f,20190306-sydego.csv,https://static.data.gouv.fr/resources/bornes-de-recharge-du-reseau-sydego-1/20190423-111754/20190306-sydego.csv,2019-04-23T11:17:55.014000,gireve-2,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
6164007267ee8a8ff17ed64c,Mairie de Beynost - Borne de recharge pour véhicules électriques,mairie-de-beynost-borne-de-recharge-pour-vehicules-electriques,https://www.data.gouv.fr/fr/datasets/mairie-de-beynost-borne-de-recharge-pour-vehicules-electriques/,9bc3585e-3d17-42e5-a09b-dba6bdc6cf76,irve-mairie-de-beynost-20211011.csv,https://static.data.gouv.fr/resources/mairie-de-beynost-borne-de-recharge-pour-vehicules-electriques/20211011-115553/irve-mairie-de-beynost-20211011.csv,2021-10-11T11:56:00.378000,mairie-de-beynost-irve,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
6164276a6398b27b6a7bdf2f,RENAULT HAZEBROUCK,renault-hazebrouck,https://www.data.gouv.fr/fr/datasets/renault-hazebrouck/,96fe8a1f-e76f-4716-8276-482d5ef1d396,RENAULT HAZEBROUCK,https://static.data.gouv.fr/resources/renault-hazebrouck/20211011-140043/data.csv,2021-10-11T14:00:43.628000,ma-borne-auto,,1 - schema request,2.0.2,True,True,2.0.2,True,False,False,False,False,False,,etalab/schema-irve,False,False,False
6148ab32783e9ea9c2d3cd52,Bornes IRVE Brasserie Castelain,bornes-irve-brasserie-castelain,https://www.data.gouv.fr/fr/datasets/bornes-irve-brasserie-castelain/,0e6fe07e-c290-45fc-899f-c50c27d3cff9,Bornes IRVE Brasserie Castelain,https://static.data.gouv.fr/resources/bornes-irve-brasserie-castelain/20211004-140304/data-gouv-irve-2021-09-17.csv,2021-10-04T14:03:13.894000,brasserie-castelain,,1 - schema request,,True,True,2.0.2,True,False,True,False,False,False,False,etalab/schema-irve,True,False,False
610b96b5ed2b35e34b929409,Bornes de recharge Hôtel La Peyrade,bornes-de-recharge-hotel-la-peyrade,https://www.data.gouv.fr/fr/datasets/bornes-de-recharge-hotel-la-peyrade/,f800a99b-0b7a-41a9-9a38-1d83b8decc48,lapeyrade-irve-station.xlsx,https://static.data.gouv.fr/resources/hotel-la-peyrade/20210805-094354/lapeyrade-irve-station.xlsx,2021-08-05T09:44:09.099000,,wrong-file-format,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
615ffa3ab927f7e73bbc89bb,SOLLIX,sollix,https://www.data.gouv.fr/fr/datasets/sollix/,2bdfcf3d-b8d2-48cd-91f7-ab3706370883,SOLLIX,https://static.data.gouv.fr/resources/sollix/20211008-095850/data.csv,2021-10-08T09:58:50.906000,ma-borne-auto,,1 - schema request,2.0.2,True,True,2.0.2,True,False,False,False,False,False,,etalab/schema-irve,False,False,False
6155aa7acb30d78ec81e3678,HFOOD VILLENAVE - HIPPOPOTAMUS,hfood-villenave-hippopotamus,https://www.data.gouv.fr/fr/datasets/hfood-villenave-hippopotamus/,daf36da4-85c9-40e9-9f6c-5a01dbe1ca0a,irve-hfood-villenave-hippopotamus-20210927.csv,https://static.data.gouv.fr/resources/hfood-villenave-hippopotamus/20210930-141606/irve-hfood-villenave-hippopotamus-20210927.csv,2021-09-30T14:16:45.664000,hfood-villenave-hippopotamus,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
6111032b300ac2f0a9165304,Infrastructures de recharge pour véhicules électriques (organisation Properphi),infrastructures-de-recharge-pour-vehicules-electriques-organisation-properphi-1,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-organisation-properphi-1/,2773aa6e-87ce-4d13-a1f6-ac078a2489cd,DATAGOUV CSV F3C ALBON.csv,https://static.data.gouv.fr/resources/infrastructures-de-recharge-pour-vehicules-electriques-organisation-properphi-1/20210809-122755/data.csv,2021-08-09T12:27:55.651000,properphi,,1 - schema request,2.0.0,True,True,2.0.2,True,False,True,False,False,False,False,etalab/schema-irve,True,False,False
