dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,error_type,organization_or_owner,resource_found_by,initial_version_name,is_valid_v_0.8.1,is_valid_one_version,most_recent_valid_version
600e9d07afc51e623b90c1d4,Documents budgétaires,documents-budgetaires,https://www.data.gouv.fr/fr/datasets/documents-budgetaires/,3cebcdd3-3359-42cc-ae0f-994adc747a26,Budget Primitif 2021,https://static.data.gouv.fr/resources/documents-budgetaires/20210415-155515/bp2021scelle.xml,2021-04-15T15:55:27.616000,wrong-file-format,,1 - schema request,,False,False,
596df7b488ee384a6742278f,Dépenses de fonctionnement par service ,depenses-de-fonctionnement-par-service,https://www.data.gouv.fr/fr/datasets/depenses-de-fonctionnement-par-service/,96b27b7a-cdb2-40b1-b74e-035265b04910,Dépenses de fonctionnement par service 2018,https://static.data.gouv.fr/resources/depenses-de-fonctionnement-par-service-2016/20201007-170030/fonctionnement-2018-par-services.xls,2020-10-07T17:19:40.788000,wrong-file-format,,1 - schema request,,False,False,
596df7b488ee384a6742278f,Dépenses de fonctionnement par service ,depenses-de-fonctionnement-par-service,https://www.data.gouv.fr/fr/datasets/depenses-de-fonctionnement-par-service/,3016ae27-5940-4469-84cf-bf3876408b60,Dépenses de fonctionnement par service 2017,https://static.data.gouv.fr/resources/depenses-de-fonctionnement-par-service-2016/20201007-165948/fonctionnement-2017-par-service.json,2020-10-07T17:19:46.275000,wrong-file-format,,1 - schema request,,False,False,
596df7b488ee384a6742278f,Dépenses de fonctionnement par service ,depenses-de-fonctionnement-par-service,https://www.data.gouv.fr/fr/datasets/depenses-de-fonctionnement-par-service/,132d3e10-c82e-4164-8f1c-f090c0fae21e,Dépenses de fonctionnement par service 2017,https://static.data.gouv.fr/resources/depenses-de-fonctionnement-par-service-2016/20201007-165926/fonctionnement-2017-par-service.csv,2020-10-07T17:19:51.785000,,mairie-de-boe,1 - schema request,,False,False,
596df7b488ee384a6742278f,Dépenses de fonctionnement par service ,depenses-de-fonctionnement-par-service,https://www.data.gouv.fr/fr/datasets/depenses-de-fonctionnement-par-service/,dd32f12b-1c55-40c5-a53a-357efb7d2d0b,Dépenses de fonctionnement par service 2017,https://static.data.gouv.fr/resources/depenses-de-fonctionnement-par-service-2016/20201007-165901/fonctionnement-2017-par-service.xls,2020-10-07T17:19:56.718000,wrong-file-format,,1 - schema request,,False,False,
596df7b488ee384a6742278f,Dépenses de fonctionnement par service ,depenses-de-fonctionnement-par-service,https://www.data.gouv.fr/fr/datasets/depenses-de-fonctionnement-par-service/,8025675a-4182-4d68-a963-ad036d930550,Dépenses de fonctionnement par service 2016,https://static.data.gouv.fr/resources/depenses-de-fonctionnement-par-service-2016/20171012-112733/Fonctionnement-2016-par-service.json,2020-10-07T17:20:02.149000,wrong-file-format,,1 - schema request,,False,False,
596df7b488ee384a6742278f,Dépenses de fonctionnement par service ,depenses-de-fonctionnement-par-service,https://www.data.gouv.fr/fr/datasets/depenses-de-fonctionnement-par-service/,140bf2bb-d23e-427d-88b5-fd1243ef2a77,Dépenses de fonctionnement par service 2016,https://static.data.gouv.fr/resources/depenses-de-fonctionnement-par-service/20170718-140935/Fonctionnement-2016-par-service.csv,2020-10-07T17:20:07.242000,,mairie-de-boe,1 - schema request,,False,False,
596df7b488ee384a6742278f,Dépenses de fonctionnement par service ,depenses-de-fonctionnement-par-service,https://www.data.gouv.fr/fr/datasets/depenses-de-fonctionnement-par-service/,8f6630a5-bdcf-466b-8d79-445e5ffd4dd5,Dépenses de fonctionnement par service 2016,https://static.data.gouv.fr/resources/depenses-de-fonctionnement-par-service/20170718-135818/Fonctionnement-2016-par-service.xls,2020-10-07T17:20:11.800000,wrong-file-format,,1 - schema request,,False,False,
596ca590c751df248b567668,Budget Primitif,budget-primitif-6,https://www.data.gouv.fr/fr/datasets/budget-primitif-6/,60b82acb-054b-4f15-a869-856a158d2d02,Budget primitif 2021,https://static.data.gouv.fr/resources/budget-primitif-6/20210331-154955/bp2021.json,2021-03-31T15:50:07.207000,wrong-file-format,,1 - schema request,,False,False,
596ca590c751df248b567668,Budget Primitif,budget-primitif-6,https://www.data.gouv.fr/fr/datasets/budget-primitif-6/,49d87326-3fba-4027-9210-477c4b41d384,Budget primitif 2021,https://static.data.gouv.fr/resources/budget-primitif-6/20210331-154932/bp2021.csv,2021-03-31T15:49:47.515000,,mairie-de-boe,1 - schema request,,False,False,
