siretAcheteur,urlProfilAcheteur,urlDCAT,coordonnees,last_modified,datagouv_resource_id
25351449100047,https://marches.megalis.bretagne.bzh,null,SYNDICAT MIXTE E-MEGALIS BRETAGNE 35510 CESSON-SEVIGNE,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
20003537600025,https://marches.megalis.bretagne.bzh,null,SYNDICAT MIXTE DU BASSIN DU LINON 35190 LA CHAPELLE-AUX-FILTZMEENS,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21560111300016,https://marches.megalis.bretagne.bzh,null,COMMUNE DE LIMERZEL 56220 LIMERZEL,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21350360000016,https://marches.megalis.bretagne.bzh,null,COMMUNE DE VITRE 35500 VITRE,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21290098900014,https://marches.megalis.bretagne.bzh,null,COMMUNE DE LAMPAUL PLOUARZEL 29810 LAMPAUL-PLOUARZEL,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21560127900015,https://marches.megalis.bretagne.bzh,null,COMMUNE DE MAURON 56430 MAURON,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
26220075100044,https://marches.megalis.bretagne.bzh,null,CENTRE COMMUNAL D'ACTION SOCIALE 22120 HILLION,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
13000018500020,https://marches.megalis.bretagne.bzh,null,GIP MAISON DEP PERSONNES HANDICAPEES 22190 PLERIN,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21560034700011,https://marches.megalis.bretagne.bzh,null,COMMUNE DE CARNAC 56340 CARNAC,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21350358400012,https://marches.megalis.bretagne.bzh,null,COMMUNE DE LA VILLE ES NONAIS 35430 LA VILLE-ES-NONAIS,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21290161500014,https://marches.megalis.bretagne.bzh,null,COMMUNE DE PLEUVEN 29170 PLEUVEN,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21220190900018,https://marches.megalis.bretagne.bzh,null,COMMUNE DE PLESLIN TRIGAVOU 22490 PLESLIN-TRIGAVOU,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
26560245800019,https://marches.megalis.bretagne.bzh,null,CENTRE COMMUNAL D'ACTION SOCIALE 56410 ERDEVEN,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
26350115700014,https://marches.megalis.bretagne.bzh,null,CENTRE COMMUNAL D ACTION SOCIALE 35580 GOVEN,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
25350291800027,https://marches.megalis.bretagne.bzh,null,SM EAU DU PAYS DE SAINT-MALO 35400 SAINT-MALO,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21350338600012,https://marches.megalis.bretagne.bzh,null,COMMUNE DE TORCE 35370 TORCE,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21560152700017,https://marches.megalis.bretagne.bzh,null,COMMUNE DE LE PALAIS 56360 LE PALAIS,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21350297400016,https://marches.megalis.bretagne.bzh,null,COMMUNE DE SAINT MEEN LE GRAND 35290 SAINT-MEEN-LE-GRAND,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
